0.5,0,1.5708
0.498078,0.0199504,1.58558
0.498027,0.0296727,1.58487
0.513599,0.143731,1.45275
0.520234,0.167905,1.42397
0.590248,0.391304,1.14261
0.600685,0.419683,1.16021
0.636803,0.479593,1.08941
0.666873,0.527714,1.05578
0.73195,0.686739,1.22264
0.757079,0.756697,1.22453
0.765351,0.795989,1.26726
0.77187,0.819372,1.27317
0.879678,1.04001,0.978043
0.906309,1.08896,1.01849
0.973902,1.20899,1.06025
1.08955,1.35574,0.835695
1.25493,1.57236,1.00963
1.27356,1.6159,1.06655
1.36357,1.76611,1.01853
1.39452,1.81808,1.02558
1.47957,1.98021,1.11303
1.56634,2.25661,1.45387
1.57005,2.44224,1.59211
1.57262,2.67847,1.5337
1.58847,2.9516,1.48972
1.56865,3.22682,1.81318
1.55972,3.32973,1.68983
1.55449,3.62372,1.46126
1.54158,3.89607,1.78893
1.52041,4.10128,1.60637
1.51187,4.1478,1.6593
1.49701,4.40693,1.59692
1.51005,4.57298,1.46326
1.5132,4.61453,1.47354
1.5129,4.67675,1.52224
1.51348,4.68095,1.5194
1.50653,4.74658,1.59871
1.5143,4.81144,1.52501
1.51374,4.81647,1.53109
1.51375,4.81652,1.53104
1.51375,4.81652,1.53104
1.51248,4.82832,1.54441
1.51247,4.82845,1.54456
1.51247,4.82848,1.54456
1.51309,4.85053,1.54421
1.51309,4.85059,1.54424
1.5133,4.86,1.54451
1.51634,4.87665,1.5245
1.51682,4.87898,1.52165
1.51716,4.88226,1.52027
1.51717,4.88329,1.5206
